,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
56,Dehecq,Dehecq - CTL,RGI60-14.06838,CTL,0.2,2000-09-11,2013-10-10,-4.222900248009438,39.12181234061157,-0.0008445800496018875,0.007824362468122315,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.32288346568671705,2.9912585215424694
57,Dehecq,Dehecq - CTL,RGI60-14.06839,CTL,0.032,2000-09-11,2013-10-10,-2.5813714413262567,50.300974960064,-8.260388612244022e-05,0.0016096311987220482,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.19737197382131363,3.8460186527451072
58,Dehecq,Dehecq - CTL,RGI60-14.06840,CTL,0.037000000000000005,2000-09-11,2013-10-10,-4.516546310995799,49.875038042620545,-0.00016711221350684455,0.0018453764075769602,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3453356793157244,3.8134514643222013
59,Dehecq,Dehecq - CTL,RGI60-14.06841,CTL,0.134,2000-09-11,2013-10-10,-3.123891327085732,9.704929518093275,-0.0004186014378294881,0.0013004605554244987,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.23885311015659694,0.7420400892785364
60,Dehecq,Dehecq - CTL,RGI60-14.06842,CTL,0.16699999999999998,2000-09-11,2013-10-10,-4.314567716405588,19.56433763338183,-0.0007205328086397332,0.003267244384774765,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.32989237145010275,1.4958916308546604
61,Dehecq,Dehecq - CTL,RGI60-14.06843,CTL,0.087,2000-09-11,2013-10-10,-4.5867837449832045,46.17173820552173,-0.00039905018581353873,0.0040169412238803895,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3507060420462875,3.5302967091410533
62,Dehecq,Dehecq - CTL,RGI60-14.06844,CTL,0.163,2000-09-11,2013-10-10,-4.1882610345309885,42.193917829092705,-0.0006826865486285513,0.006877608606142109,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3202349472184307,3.226152080191775
63,Dehecq,Dehecq - CTL,RGI60-14.06845,CTL,0.07400000000000001,2000-09-11,2013-10-10,-4.276949361573627,47.009376289673256,-0.00031649425275644843,0.0034786938454358205,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3270160674722142,3.5943426187572025
64,Dehecq,Dehecq - CTL,RGI60-14.06846,CTL,0.043,2000-09-11,2013-10-10,6.488773557860219,13.027448565861066,0.0002790172629879894,0.0005601802883320258,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.4961324140691742,0.996080299074891
65,Dehecq,Dehecq - CTL,RGI60-14.06847,CTL,0.049,2000-09-11,2013-10-10,3.0932658227453533,10.016752708967932,0.0001515700253145223,0.0004908208827394286,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.2365114803763325,0.765882128312861
66,Dehecq,Dehecq - CTL,RGI60-14.06848,CTL,0.094,2000-09-11,2013-10-10,4.816280130042698,9.533662638323127,0.0004527303322240136,0.0008961642880023739,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.3682533635122662,0.7289450028569232
67,Dehecq,Dehecq - CTL,RGI60-14.06849,CTL,0.139,2000-09-11,2013-10-10,-4.722427991297815,43.32157655565367,-0.0006564174907903962,0.006021699141235861,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.36107741758876427,3.3123730033394394
68,Dehecq,Dehecq - CTL,RGI60-14.06850,CTL,0.17600000000000002,2000-09-11,2013-10-10,-0.11849997317144215,41.54572443806538,-2.085599527817382e-05,0.007312047501099506,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.009060522336376229,3.1765911348133513
69,Dehecq,Dehecq - CTL,RGI60-14.06851,CTL,0.16399999999999998,2000-09-11,2013-10-10,4.158126128988083,21.820735991329926,0.0006819326851540457,0.0035786007025781085,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.3179308286817871,1.668416123264236
70,Dehecq,Dehecq - CTL,RGI60-14.06852,CTL,0.078,2000-09-11,2013-10-10,-3.801609911756819,46.72004725742011,-0.00029652557311703187,0.0036441636860787686,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.29067155542582757,3.5722204858222097
71,Dehecq,Dehecq - CTL,RGI60-14.06853,CTL,0.09300000000000001,2000-09-11,2013-10-10,-4.179009842322056,45.828959054084905,-0.0003886479153359512,0.004262093192029896,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.31952759993890123,3.504087773603624
72,Dehecq,Dehecq - CTL,RGI60-14.06854,CTL,0.083,2000-09-11,2013-10-10,3.57713650762116,34.38944402621506,0.00029690233013255626,0.0028543238541758505,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.27350829169115104,2.6294210656426733
73,Dehecq,Dehecq - CTL,RGI60-14.06855,CTL,0.092,2000-09-11,2013-10-10,5.217685836898454,45.91551313515635,0.0004800270969946577,0.004224227208434384,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.3989448925951769,3.51070570915132
74,Dehecq,Dehecq - CTL,RGI60-14.06864,CTL,0.228,2000-09-11,2013-10-10,-1.9667981908281689,7.797766473801684,-0.00044842998750882235,0.0017778907560267844,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.15038162846974854,0.5962181713535828
